Timestamp,Date,Time,Actitivty,Percentage
1511542588,11/24/2017,9:56 PM,On foot,0.82
1511542588,11/24/2017,9:56 PM,Walking,0.82
1511542593,11/24/2017,9:56 PM,On foot,0.75
1511542593,11/24/2017,9:56 PM,Walking,0.75
1511542615,11/24/2017,9:56 PM,Tilting,1
1511542615,11/24/2017,9:56 PM,Still,0.72
1511542619,11/24/2017,9:56 PM,Still,1
1511542649,11/24/2017,9:57 PM,Tilting,1
1511543035,11/24/2017,10:03 PM,Still,0.47
1511543039,11/24/2017,10:03 PM,Still,0.87
1511543044,11/24/2017,10:04 PM,Still,0.88
1511543048,11/24/2017,10:04 PM,Still,0.48
1511543067,11/24/2017,10:04 PM,Tilting,1
1511543072,11/24/2017,10:04 PM,Still,1
1511543076,11/24/2017,10:04 PM,Still,1
1511543081,11/24/2017,10:04 PM,Still,1
1511543085,11/24/2017,10:04 PM,Still,1
1511543090,11/24/2017,10:04 PM,Still,1
1511543094,11/24/2017,10:04 PM,Still,1
1511543099,11/24/2017,10:04 PM,Still,1
1511543104,11/24/2017,10:05 PM,Still,1
1511543108,11/24/2017,10:05 PM,Still,1
1511543113,11/24/2017,10:05 PM,Still,1
1511543117,11/24/2017,10:05 PM,Still,0.86
1511543122,11/24/2017,10:05 PM,Still,1
1511543126,11/24/2017,10:05 PM,Still,1
1511543131,11/24/2017,10:05 PM,Still,1
1511543135,11/24/2017,10:05 PM,Still,1
1511543140,11/24/2017,10:05 PM,Still,1
1511543144,11/24/2017,10:05 PM,Still,1
1511543149,11/24/2017,10:05 PM,Still,1
1511543153,11/24/2017,10:05 PM,Still,0.59
1511543158,11/24/2017,10:05 PM,Still,0.88
1511543162,11/24/2017,10:06 PM,Still,0.85
1511543167,11/24/2017,10:06 PM,Still,0.75
1511543171,11/24/2017,10:06 PM,Still,0.78
1511543176,11/24/2017,10:06 PM,Still,1
1511543180,11/24/2017,10:06 PM,Still,1
1511543185,11/24/2017,10:06 PM,Still,0.74
1511543188,11/24/2017,10:06 PM,Still,0.83
1511543193,11/24/2017,10:06 PM,Still,0.74
1511543196,11/24/2017,10:06 PM,Still,0.8
1511543200,11/24/2017,10:06 PM,Still,0.59
1511543337,11/24/2017,10:08 PM,Tilting,1
1511543337,11/24/2017,10:08 PM,Still,0.55
1511543341,11/24/2017,10:09 PM,Still,0.93
1511543354,11/24/2017,10:09 PM,Still,0.55
1511543359,11/24/2017,10:09 PM,Still,1
1511543363,11/24/2017,10:09 PM,Still,1
1511543368,11/24/2017,10:09 PM,Still,0.89
1511543372,11/24/2017,10:09 PM,Still,1
1511543376,11/24/2017,10:09 PM,Still,1
1511543381,11/24/2017,10:09 PM,Still,1
1511543385,11/24/2017,10:09 PM,Still,1
1511543390,11/24/2017,10:09 PM,Still,0.84
1511543394,11/24/2017,10:09 PM,Still,1
1511543399,11/24/2017,10:09 PM,Still,0.91
1511543403,11/24/2017,10:10 PM,Still,1
1511543408,11/24/2017,10:10 PM,Still,1
1511543412,11/24/2017,10:10 PM,Still,1
1511543417,11/24/2017,10:10 PM,Still,1
1511543421,11/24/2017,10:10 PM,Still,1
1511543426,11/24/2017,10:10 PM,Still,1
1511543430,11/24/2017,10:10 PM,Still,0.76
1511543435,11/24/2017,10:10 PM,Still,1
1511543439,11/24/2017,10:10 PM,Still,0.86
1511543443,11/24/2017,10:10 PM,Still,1
1511543447,11/24/2017,10:10 PM,Still,0.91
1511543452,11/24/2017,10:10 PM,Still,1
1511543456,11/24/2017,10:10 PM,Still,0.84
1511543461,11/24/2017,10:11 PM,Still,1
1511543465,11/24/2017,10:11 PM,Still,0.92
1511543470,11/24/2017,10:11 PM,Still,1
1511543475,11/24/2017,10:11 PM,Still,1
1511543479,11/24/2017,10:11 PM,Still,1
1511543484,11/24/2017,10:11 PM,Still,1
1511543567,11/24/2017,10:12 PM,Still,1
1511543572,11/24/2017,10:12 PM,Still,1
1511543576,11/24/2017,10:12 PM,Still,1
1511543581,11/24/2017,10:13 PM,Still,1
1511543585,11/24/2017,10:13 PM,Still,1
1511543590,11/24/2017,10:13 PM,Still,1
1511543594,11/24/2017,10:13 PM,Still,1
1511543598,11/24/2017,10:13 PM,Still,1
1511543603,11/24/2017,10:13 PM,Still,1
1511543607,11/24/2017,10:13 PM,Still,1
1511543612,11/24/2017,10:13 PM,Still,1
1511543616,11/24/2017,10:13 PM,Still,1
1511543621,11/24/2017,10:13 PM,Still,1
1511543625,11/24/2017,10:13 PM,Still,1
1511543630,11/24/2017,10:13 PM,Still,1
1511543634,11/24/2017,10:13 PM,Still,1
1511543639,11/24/2017,10:13 PM,Still,1
1511543643,11/24/2017,10:14 PM,Still,1
1511543648,11/24/2017,10:14 PM,Still,1
1511543651,11/24/2017,10:14 PM,Still,1
1511543656,11/24/2017,10:14 PM,Still,1
1511543660,11/24/2017,10:14 PM,Still,1
